timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.08.13-18.54.44,save,11,00:00:11,ebee3d_45.blend,C:\Art\Ebee3d\ebee3d_45.blend
2014.08.13-19.03.36,load,0,00:00:00,,
2014.08.13-19.03.54,load,17,00:00:17,ebee3d_45.blend,C:\Art\Ebee3d\ebee3d_45.blend
2014.08.13-19.06.40,load,0,00:00:00,,
2014.08.13-19.06.42,load,2,00:00:02,ebee3d_45.blend,C:\Art\Ebee3d\ebee3d_45.blend
2014.08.13-19.06.48,load,6,00:00:06,,
2014.08.13-19.07.03,load,14,00:00:14,ebee3d_45.blend,C:\Art\Ebee3d\ebee3d_45.blend
2014.08.13-19.07.13,save,10,00:00:10,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.10.32,save,198,00:03:18,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.11.05,save,33,00:00:33,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.12.52,load,0,00:00:00,,
2014.08.13-19.12.57,load,5,00:00:05,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.14.01,save,64,00:01:04,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.17.17,save,196,00:03:16,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.19.25,save,127,00:02:07,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.24.49,save,323,00:05:23,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.26.26,save,96,00:01:36,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.30.45,save,259,00:04:19,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-19.47.52,save,1027,00:17:07,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-20.00.48,save,775,00:12:55,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-20.02.55,save,126,00:02:06,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-20.03.54,save,59,00:00:59,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-20.04.39,save,45,00:00:45,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-20.10.17,save,337,00:05:37,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.13-21.40.32,load,0,00:00:00,,
2014.08.14-18.09.39,load,73746,20:29:06,ebee3d_46.blend,C:\Art\Ebee3d\ebee3d_46.blend
2014.08.14-18.18.00,save,500,00:08:20,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-18.22.47,save,287,00:04:47,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-19.26.23,save,3815,01:03:35,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-19.27.01,save,38,00:00:38,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-19.32.25,save,324,00:05:24,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-19.40.45,save,499,00:08:19,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-19.49.10,save,505,00:08:25,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-19.51.04,save,114,00:01:54,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
2014.08.14-19.51.51,save,46,00:00:46,ebee3d_47.blend,C:\Art\Ebee3d\ebee3d_47.blend
