timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.09.23-21.00.49,save,6703,01:51:43,monster_12.blend,C:\Art\Biomecha Game\Monster\monster_12.blend
2014.09.23-21.33.57,save,1987,00:33:07,monster_13.blend,C:\Art\Biomecha Game\Monster\monster_13.blend
2014.09.23-21.53.14,save,1157,00:19:17,monster_13.blend,C:\Art\Biomecha Game\Monster\monster_13.blend
2014.09.23-21.58.34,save,319,00:05:19,monster_13.blend,C:\Art\Biomecha Game\Monster\monster_13.blend
2014.09.24-15.36.42,load,0,00:00:00,,
2014.09.24-15.37.28,load,45,00:00:45,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.24-15.52.17,save,888,00:14:48,ebee3d_64.blend,C:\Art\Ebee3d\ebee3d_64.blend
2014.09.24-15.57.19,save,302,00:05:02,ebee3d_64.blend,C:\Art\Ebee3d\ebee3d_64.blend
2014.09.24-16.28.42,save,1882,00:31:22,ebee3d_64.blend,C:\Art\Ebee3d\ebee3d_64.blend
2014.09.25-11.05.41,load,0,00:00:00,,
2014.09.25-11.29.22,load,1420,00:23:40,ebee3d_64.blend,C:\Art\Ebee3d\ebee3d_64.blend
2014.09.25-11.43.56,save,873,00:14:33,ebee3d_64.blend,C:\Art\Ebee3d\ebee3d_64.blend
2014.09.29-09.32.36,load,0,00:00:00,,
2014.09.29-09.32.39,load,3,00:00:03,ebee3d_64.blend,C:\Art\Ebee3d\ebee3d_64.blend
2014.09.29-10.13.58,save,2478,00:41:18,ebee3d_65.blend,C:\Art\Ebee3d\ebee3d_65.blend
2014.09.29-10.53.45,save,2387,00:39:47,ebee3d_65.blend,C:\Art\Ebee3d\ebee3d_65.blend
2014.10.02-16.56.29,load,0,00:00:00,,
2014.10.03-09.59.21,load,61371,17:02:51,ebee3d_65.blend,C:\Art\Ebee3d\ebee3d_65.blend
2014.10.03-10.06.51,save,450,00:07:30,ebee3d_66.blend,C:\Art\Ebee3d\ebee3d_66.blend
2014.10.03-10.43.31,save,2199,00:36:39,ebee3d_66.blend,C:\Art\Ebee3d\ebee3d_66.blend
2014.10.03-12.45.39,save,7327,02:02:07,ebee3d_66.blend,C:\Art\Ebee3d\ebee3d_66.blend
2014.10.03-12.58.38,load,0,00:00:00,,
2014.10.03-12.59.15,load,37,00:00:37,ebee3d_66.blend,C:\Art\Ebee3d\ebee3d_66.blend
2014.10.03-16.47.16,load,0,00:00:00,,
2014.10.03-19.11.33,save,22338,06:12:18,ebee3d_66.blend,C:\Art\Ebee3d\ebee3d_66.blend
2014.10.05-12.32.08,load,0,00:00:00,,
2014.10.05-12.35.17,save,188,00:03:08,monster_mid_01.blend,C:\Art\Biomecha Game\Monster\monster_mid_01.blend
2014.10.05-12.36.11,save,54,00:00:54,monster_mid_01.blend,C:\Art\Biomecha Game\Monster\monster_mid_01.blend
2014.10.05-12.36.14,load,3,00:00:03,,
2014.10.05-12.37.55,load,100,00:01:40,monster_mid_01.blend,C:\Art\Biomecha Game\Monster\monster_mid_01.blend
2014.10.05-14.29.13,save,6677,01:51:17,monster_mid_02.blend,C:\Art\Biomecha Game\Monster\monster_mid_02.blend
2014.10.06-09.34.56,load,68743,19:05:43,ebee3d_66.blend,C:\Art\Ebee3d\ebee3d_66.blend
2014.10.06-09.58.08,save,1391,00:23:11,ebee3d_67.blend,C:\Art\Ebee3d\ebee3d_67.blend
